AsOfDate,ShippingDate,WaitTime
2006-10-06,2004-09-22,744
2006-10-19,2004-10-20,729
2006-11-30,2004-12-13,717
2007-01-12,2004-12-13,760
2007-02-05,2004-12-24,773
2007-02-26,2005-02-01,755
2007-03-06,2005-02-11,753
2007-03-27,2005-02-22,763
2007-04-11,2005-03-06,766
2007-05-07,2005-04-18,749
2007-06-26,2005-06-15,741
2007-10-26,2006-04-04,570
2008-05-06,2006-07-04,672
2008-07-25,2006-08-09,716
2009-04-15,2007-05-06,710
2009-05-12,2007-07-21,661
2009-06-16,2007-10-19,606
2009-07-09,2007-11-23,594
2009-08-04,2008-01-10,572
2009-12-21,2008-06-14,555
2010-01-19,2008-06-24,574
2010-02-16,2008-08-03,562
2010-03-17,2008-09-15,548
2010-04-01,2008-11-04,513
2010-05-25,2008-12-28,513
2010-06-24,2009-02-02,507
2010-06-26,2009-02-14,497
2010-09-16,2009-04-14,520
2010-11-10,2009-06-17,511
2011-06-22,2010-01-23,515
2011-08-10,2010-03-22,506
2011-11-18,2010-07-20,486
2011-12-13,2010-08-12,488
2012-02-01,2010-10-25,464
2012-03-27,2010-12-25,458
2012-04-05,2011-01-01,460
2012-06-19,2011-04-27,419
2012-07-23,2011-06-18,401
2012-07-30,2011-07-18,378
2012-10-04,2011-11-07,332
2012-11-01,2012-01-01,305
2012-11-13,2012-01-17,301
2012-12-29,2012-03-21,283
2013-01-23,2012-04-21,277
2013-02-19,2012-04-22,303
2013-04-13,2012-07-19,268
2013-05-08,2012-08-14,267
2013-06-13,2012-09-10,276
2013-07-17,2012-10-25,265
2013-08-01,2012-11-11,263
2013-09-21,2013-01-01,263
2013-10-17,2013-02-06,253
2013-12-10,2013-04-14,240
2014-01-21,2013-05-08,258
2014-02-21,2013-06-03,263
2014-03-12,2013-06-19,266
2014-04-08,2013-07-16,266
2014-05-08,2013-08-03,278
2014-05-26,2013-08-17,282
2014-06-25,2013-09-30,268
2014-08-21,2013-12-02,262
2014-09-22,2014-01-01,264
2014-10-02,2014-01-09,266
2014-11-28,2014-02-01,300
2014-12-17,2014-03-01,291
2015-01-20,2014-04-01,294
2015-03-05,2014-04-28,311
2015-04-07,2014-06-03,308
2015-05-01,2014-06-16,319
2015-06-05,2014-07-03,337
2015-07-20,2014-08-04,350
2015-09-10,2014-09-10,365
2015-10-01,2014-10-04,362
2015-11-05,2014-10-29,372
2015-12-09,2014-11-11,393
2016-01-12,2014-11-25,413
2016-02-17,2014-12-23,421
2016-03-10,2014-12-30,436
2016-03-23,2015-01-06,442
2016-04-14,2015-01-19,451
2016-04-29,2015-01-27,458
2016-06-02,2015-02-23,465
2016-06-09,2015-03-03,464
2016-07-14,2015-03-31,471
2016-08-24,2015-05-05,477
2016-08-31,2015-05-16,473
2016-09-15,2015-05-24,480
2016-10-06,2015-06-23,471
2016-11-15,2015-07-17,487
2017-04-13,2015-11-20,510
2017-05-11,2015-12-04,524
2017-05-18,2015-12-11,524
2017-06-07,2015-12-25,530
2017-06-19,2016-01-03,533
2017-07-11,2016-01-16,542
2017-07-28,2016-01-23,552
2017-08-23,2016-02-15,555
2017-09-19,2016-03-08,560
2017-10-12,2016-03-24,567
2017-11-04,2016-03-31,583
2017-11-29,2016-04-14,594
2017-12-14,2016-04-26,597
2018-01-04,2016-05-14,600
2018-02-11,2016-06-01,620
2018-03-13,2016-06-17,634
2018-03-21,2016-06-26,633
2018-04-23,2016-07-18,644
2018-06-14,2016-07-31,683
2018-07-01,2016-08-06,694
2018-07-23,2016-08-14,708
2018-08-23,2016-08-26,727
2018-09-02,2016-09-02,730
2018-10-02,2016-09-16,746
2018-11-09,2016-09-28,772
2018-12-18,2016-10-18,791
2019-01-15,2016-11-02,804
2019-02-18,2016-12-01,809
2019-03-21,2016-12-14,827
2019-04-23,2017-01-02,841
2019-05-28,2017-01-11,867
2019-06-18,2017-01-17,882
2019-07-12,2017-01-24,899
2019-08-19,2017-02-05,925
2019-09-19,2017-02-14,947
2019-10-07,2017-02-18,961
2019-10-21,2017-02-25,968
2019-10-29,2017-03-02,971
2019-11-26,2017-03-07,994
2019-12-02,2017-03-13,994
2019-12-23,2017-03-24,1004
2020-01-09,2017-04-11,1003
2020-01-30,2017-04-17,1018
2020-03-02,2017-05-04,1033
2020-04-24,2017-06-03,1056
2020-10-22,2017-06-25,1215
2021-04-09,2017-08-15,1333
